"Format name"	"Starting value for format"	"Ending value for format"	"Format value label"
PROD	1873	1873	1873 - WINDOWS OR WINDOW GLASS, NOT SPECIFIED
PROD	1875	1875	1875 - OTHER WINDOWS OR WINDOW GLASS
PROD	1876	1876	1876 - HOUSE REPAIR OR CONSTRUCTION MATERIALS,NEC
PROD	1878	1878	1878 - DOOR SILLS OR FRAMES
PROD	1879	1879	1879 - OTHER NONGLASS DOORS (NONGARAGE)
PROD	1880	1880	1880 - NONGLASS DOORS (NONGARAGE), NOT SPECIFIED
PROD	1882	1882	1882 - OTHER GLASS DOORS
PROD	1883	1883	1883 - GLASS DOORS, NOT SPECIFIED
PROD	1884	1884	1884 - CEILINGS AND WALLS (INTERIOR PART OF COMPLETED STRUCTURE)
PROD	1885	1885	1885 - WOOD PANELING AND PARTICLEBOARD
PROD	1886	1886	1886 - GARAGE DOORS (EXCL. AUTOMATIC GARAGE DOORS OR OPENERS)
PROD	1887	1887	1887 - TOOL SHEDS
PROD	1888	1888	1888 - WINDOW OR DOOR SECURITY BARRIERS
PROD	1889	1889	1889 - ELEVATORS OR OTHER LIFTS (EXCL. ESCALATORS, HOISTS, JACKS,
PROD	1890	1890	1890 - ESCALATORS
PROD	1891	1891	1891 - MOVING WALKS
PROD	1892	1892	1892 - GLASS DOORS OR DOORS WITH GLASS PANELS
PROD	1893	1893	1893 - DOORS, OTHER OR NOT SPECIFIED
PROD	1894	1894	1894 - WINDOWS AND WINDOW GLASS, OTHER THAN STORM WINDOWS
PROD	1895	1895	1895 - TREE STANDS (HUNTING)
PROD	1898	1898	1898 - GAS FUMES OR GAS VAPORS OF UNKNOWN ORIGIN
PROD	1899	1899	1899 - CARBON MONOXIDE POISONING (WHEN SOURCE IS UNKNOWN
PROD	1901	1901	1901 - MOTOR VEHICLES OR PARTS (LICENSED, FOUR OR MORE WHEELS)
PROD	1902	1902	1902 - TRAINS
PROD	1903	1903	1903 - ALCOHOL (BEVERAGE)
PROD	1906	1906	1906 - AIRCRAFT
PROD	1909	1909	1909 - CIGARETTES, CIGARS, PIPES OR TOBACCO
PROD	1910	1910	1910 - LICENSED TWO-WHEELED MOTOR VEHICLES
PROD	1913	1913	1913 - COSMETICS, INCL FACIAL & EYE MAKE-UP, DEODORANTS, ETC.
PROD	1914	1914	1914 - VETERINARY MEDICINES
PROD	1915	1915	1915 - LINIMENTS OR RUBBING COMPOUNDS
PROD	1916	1916	1916 - PREPARATIONS CONTAINING IRON SALTS
PROD	1923	1923	1923 - ASPIRIN OR ASPIRIN COMPOUNDS
PROD	1926	1926	1926 - PESTICIDES
PROD	1927	1927	1927 - LIQUID DRUGS
PROD	1928	1928	1928 - ANTIHISTAMINES
PROD	1929	1929	1929 - DRUGS OR MEDICATIONS, NOT SPECIFIED
PROD	1930	1930	1930 - ASPIRIN SUBSTITUTES
PROD	1931	1931	1931 - TABLET OR CAPSULE DRUGS
PROD	1932	1932	1932 - OTHER DRUGS OR MEDICATIONS
PROD	1933	1933	1933 - FOODS (EXCLUDING HOT WATER)
PROD	1934	1934	1934 - HOT WATER
PROD	1935	1935	1935 - GUNPOWDER OR AMMUNITION
PROD	1936	1936	1936 - BB'S OR PELLETS
PROD	1937	1937	1937 - AIR BAGS, DEPLOYED (FOR NHTSA STUDY)
PROD	1939	1939	1939 - ILLEGAL DRUGS (INCL COCAINE, CRACK, HEROIN, MARIJ, PCP...)
PROD	1940	1940	1940 - MOUTHWASHES OR MOUTH RINSES (EXCLUDING PEROXIDE)
PROD	2000	2000	
PROD	2001	2001	2001 - ANIMAL INDUCED INJURY
PROD	2002	2002	2002 - PLANTS, TREES, AND SHRUBS
PROD	2003	2003	2003 - INSECT INDUCED INJURIES
PROD	2200	2200	2200 - INDUSTRIAL EQUIPMENT
PROD	2288	2288	2288 - NO PRODUCT INVOLVED (OCCUPATIONAL INJURIES ONLY)
PROD	2300	2300	2300 - SCHOOL EQUIPMENT
PROD	2400	2400	2400 - MEDICAL EQUIPMENT
PROD	2401	2401	2401 - RADIOGRAPHIC EQUIPMENT
PROD	2402	2402	2402 - FLUOROSCOPIC EQUIPMENT
PROD	2403	2403	2403 - THERAPEUTIC EQUIPMENT
PROD	2404	2404	2404 - GERMICIDAL LAMPS
PROD	2405	2405	2405 - DIATHERMY EQUIPMENT (SHORT WAVE, MICROWAVE, ULTRASONIC)
PROD	2406	2406	2406 - BRACING OR SUPPORTING DEVICES
PROD	2407	2407	2407 - BATHS (MEDICAL EQUIPMENT)
PROD	2408	2408	2408 - CATHETERS
PROD	2409	2409	2409 - CONTRACEPTIVE DEVICES, INCLUDING IUD'S
PROD	2415	2415	2415 - DENTAL PADS OR RELINERS
PROD	2420	2420	2420 - EAR PIERCING DEVICES
PROD	2423	2423	2423 - HEART VALVES, ARTIFICIAL
PROD	2425	2425	2425 - TRACTION EQUIPMENT (HOME USE)
PROD	2429	2429	2429 - INVITRO DIAGNOSTIC KITS
PROD	2430	2430	2430 - KIDNEY DIALYSIS MACHINES
PROD	2431	2431	2431 - INTRAOCULAR DEVICES
PROD	2435	2435	2435 - OXYGEN ADMINISTRATION APPARATUS
PROD	2437	2437	2437 - PACEMAKERS, CARDIAC
PROD	2439	2439	2439 - STIMULATORS, ELECTRICAL
PROD	2440	2440	2440 - SUPPORT GARMENTS AND STOCKINGS, MEDICAL
PROD	2443	2443	2443 - STERILIZERS, MEDICAL
PROD	2447	2447	2447 - RADIATION THERAPY EQUIPMENT
PROD	2448	2448	2448 - OSTOMY APPLIANCES
PROD	2450	2450	2450 - ANESTHESIOLOGICAL DEVICES, NOT ELSEWHERE CLASSIFIED
PROD	2452	2452	2452 - CARDIOVASCULAR DEVICES, NOT ELSEWHERE CLASSIFIED
PROD	2454	2454	2454 - DENTAL DEVICES, NOT ELSEWHERE CLASSIFIED
PROD	2456	2456	2456 - EAR, NOSE AND THROAT DEVICES, NOT ELSEWHERE CLASSIFIED
PROD	2458	2458	2458 - GASTROENTEROLOGICAL OR UROLOGICAL DEVICES
PROD	2460	2460	2460 - GENERAL OR PLASTIC SURGERY DEVICES
PROD	2462	2462	2462 - OTHER HOSPITAL OR PERSONAL USE MEDICAL DEVICES
PROD	2464	2464	2464 - NEUROLOGICAL DEVICES, NOT ELSEWHERE CLASSIFIED
PROD	2466	2466	2466 - OBSTETRICAL OR GYNECOLOGICAL DEVICES
PROD	2468	2468	2468 - OPHTHALMIC DEVICES, NOT ELSEWHERE CLASSIFIED
PROD	2470	2470	2470 - PHYSIATRIC DEVICES, NOT ELSEWHERE CLASSIFIED
PROD	2472	2472	2472 - RADIOLOGICAL DEVICES, NOT ELSEWHERE CLASSIFIED
PROD	2474	2474	2474 - ARTIFICIAL LIMBS
PROD	2475	2475	2475 - ATOMIZING DEVICES
PROD	2476	2476	2476 - MONITORING SYSTEMS, MEDICAL
PROD	2477	2477	2477 - MEDICAL GLOVES
PROD	2478	2478	
PROD	2479	2479	2479 - PROSTHETIC DEVICES, OTHER
PROD	2480	2480	2480 - RESPIRATORY DEVICES, NOT ELSEWHERE CLASSIFIED
PROD	2500	2500	2500 - ANTIPERSPIRANTS AND DEODORANTS (UNDERARM)
PROD	2510	2510	2510 - BATH PRODUCTS
PROD	2511	2511	2511 - BUBBLE BATHS
PROD	2520	2520	2520 - DEPILATORIES OR HAIR REMOVERS
PROD	2531	2531	2531 - EYE MASCARAS
PROD	2532	2532	2532 - EYELINERS
PROD	2533	2533	2533 - OTHER EYE MAKE-UP PREPARATIONS
PROD	2534	2534	2534 - EYE MAKE-UP PREPARATIONS, NOT SPECIFIED
PROD	2540	2540	2540 - FACE CARE PREPARATIONS
PROD	2541	2541	2541 - FACE HORMONE CREAMS
PROD	2550	2550	2550 - FRAGRANCE PREPARATIONS
PROD	2560	2560	2560 - HAND AND BODY CREAMS OR LOTIONS
PROD	2571	2571	2571 - HAIR COLORING SHAMPOOS
PROD	2572	2572	2572 - HAIR DYES (PERMANENT DARK TONES)
PROD	2573	2573	2573 - HAIR LIGHTENERS WITH COLOR (PERMANENT BLOND TONES)
PROD	2574	2574	2574 - HAIR COLORING PREPARATIONS, NOT SPECIFIED
PROD	2575	2575	2575 - OTHER HAIR COLORING PREPARATIONS
PROD	2580	2580	2580 - HAIR GROOMING PREPARATIONS
PROD	2590	2590	2590 - NONCOLORING HAIR SHAMPOOS
PROD	2600	2600	2600 - HAIR SPRAYS
PROD	2610	2610	2610 - HAIR WAVING PREPARATIONS OR STRAIGHTENERS
PROD	2621	2621	2621 - MAKE-UP PREPARATIONS
PROD	2630	2630	2630 - NAIL PREPARATIONS
PROD	2631	2631	2631 - NAIL HARDENERS
PROD	2640	2640	2640 - ORAL HYGIENE PRODUCTS
PROD	2650	2650	2650 - GENITAL AREA PRODUCTS
PROD	2660	2660	2660 - POWDER PREPARATIONS
PROD	2670	2670	2670 - SHAVING PREPARATIONS
PROD	2680	2680	2680 - SOAPS
PROD	2690	2690	2690 - SUNTAN OR SUNSCREEN PREPARATIONS
PROD	3200	3200	3200 - WATER TUBING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3202	3202	3202 - PEDAL-POWERED ADULT VEHICLES (THREE OR MORE WHEELS)
PROD	3203	3203	3203 - SKEET SHOOTING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3211	3211	3211 - GROUND WATER SLIDES
PROD	3214	3214	3214 - CAMPING EQUIPMENT
PROD	3215	3215	3215 - MOPEDS OR POWER-ASSISTED CYCLES
PROD	3216	3216	3216 - ROLLER SKATING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3217	3217	3217 - SKATING (ACTIVITY, APPAREL OR EQUIPMENT) NOT SPECIFIED
PROD	3218	3218	3218 - CHARCOAL OR WOOD-BURNING GRILLS
PROD	3219	3219	3219 - OTHER PLAYGROUND EQUIPMENT
PROD	3220	3220	3220 - VOLLEYBALL (ACTIVITY, APPAREL OR EQUIPMENT), N.S.
PROD	3221	3221	3221 - ABOVE-GROUND SWIMMING POOLS (EXCL PORTABLE POOLS)
PROD	3222	3222	3222 - BADMINTON (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3223	3223	3223 - FISHING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3224	3224	3224 - OTHER GUNS OR FIREARMS
PROD	3225	3225	3225 - ORGANIZED SOCCER (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3226	3226	3226 - BASKETBALL (ACTIVITY, APPAREL OR EQUIPMENT), N.S.
PROD	3227	3227	3227 - INFORMAL FOOTBALL (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3228	3228	3228 - ORGANIZED BASEBALL (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3229	3229	3229 - ELECTRIC GRILLS
PROD	3230	3230	3230 - KEROSENE GRILLS OR STOVES
PROD	3231	3231	3231 - GYMNASTICS (ACTIVITY, APPAREL OR EQUIPMENT), N.S.
PROD	3233	3233	3233 - OTHER GRILLS OR STOVES
PROD	3234	3234	3234 - RUGBY (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3235	3235	3235 - OTHER BALL SPORTS (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3236	3236	3236 - BALL SPORTS (ACTIVITY, APPAREL OR EQUIPMENT), N.S.
PROD	3237	3237	3237 - ORGANIZED GYMNASTICS (ACTIVITY, APPAREL OR EQUIP.)
PROD	3240	3240	3240 - INFORMAL BASEBALL (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3241	3241	3241 - INFORMAL SOCCER (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3242	3242	3242 - ORGANIZED BASKETBALL (ACTIVITY, APPAREL OR EQUIP.)
PROD	3243	3243	3243 - ORGANIZED VOLLEYBALL (ACTIVITY, APPAREL OR EQUIP.)
PROD	3244	3244	3244 - FOOTBALL (ACTIVITY, APPAREL OR EQUIPMENT), N.S.
PROD	3245	3245	3245 - STREET HOCKEY (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3246	3246	3246 - SWINGS OR SWING SETS
PROD	3247	3247	3247 - ICE OR SNOW BOATING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3248	3248	3248 - GAS OR LP GRILLS OR STOVES (FOR OUTDOOR USE)
PROD	3249	3249	3249 - GRILLS, NOT SPECIFIED
PROD	3250	3250	3250 - PORTABLE FOOD OR BEVERAGE COOLERS
PROD	3251	3251	3251 - BUILT-IN SWIMMING POOLS
PROD	3252	3252	3252 - SLEEPING BAGS
PROD	3253	3253	3253 - GUNS, NOT SPECIFIED
PROD	3254	3254	3254 - CHEERLEADING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3255	3255	3255 - ICE SKATING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3256	3256	3256 - SQUASH, RACQUET BALL OR PADDLE BALL
PROD	3257	3257	3257 - MARTIAL ARTS (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3258	3258	3258 - MINIBIKES OR TRAIL BIKES
PROD	3259	3259	3259 - GO-CARTS
PROD	3260	3260	3260 - FENCING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3261	3261	3261 - SHUFFLEBOARD (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3262	3262	3262 - SWIMMING POOL EQUIPMENT
PROD	3263	3263	3263 - INFORMAL GYMNASTICS (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3265	3265	3265 - WEIGHT LIFTING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3267	3267	3267 - INFORMAL BASKETBALL (ACTIVITY, APPAREL OR EQUIP.)
PROD	3268	3268	3268 - INFORMAL VOLLEYBALL (ACTIVITY, APPAREL OR EQUIP.)
PROD	3269	3269	3269 - ORGANIZED FOOTBALL (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3270	3270	3270 - BASEBALL (ACTIVITY, APPAREL OR EQUIP.), NOT SPECIFIED
PROD	3271	3271	3271 - SOCCER (ACTIVITY, APPAREL OR EQUIPMENT), NOT SPECIFIED
PROD	3272	3272	3272 - HOCKEY (ACTIVITY, APPAREL OR EQUIPMENT), NOT SPECIFIED
PROD	3273	3273	3273 - PLAYGROUND EQUIPMENT, NOT SPECIFIED
PROD	3274	3274	3274 - SWIMMING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3276	3276	3276 - WATER POLO (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3277	3277	3277 - EXERCISE EQUIPMENT
PROD	3278	3278	3278 - DANCING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3279	3279	3279 - FLOTATION TOYS (EXCL OFFICIAL LIFE-SAVING DEVICES)
PROD	3282	3282	3282 - CURLING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3283	3283	3283 - SNOW SKIING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3284	3284	3284 - TENNIS (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3285	3285	3285 - ALL TERRAIN VEHICLES ATV (THREE WHEELS/OFF-ROAD ONLY)
PROD	3286	3286	3286 - ALL TERRAIN VEHICLES ATV (FOUR WHEELS/OFF ROAD ONLY)
PROD	3287	3287	3287 - ALL TERRAIN VEHICLES ATV (# OF WHEELS UNSPECIFIED/OFF ROAD)
PROD	3288	3288	3288 - DUNE BUGGIES/BEACH BUGGIES
PROD	3289	3289	3289 - DARTS, FOR INDOOR USE (ACTIVITY OR EQUIPMENT)
PROD	3290	3290	3290 - DARTS, LAWN (ACTIVITY OR EQUIPMENT)
PROD	3291	3291	3291 - DARTS, NOT OTHERWISE SPECIFIED (N.O.S.)
PROD	3292	3292	3292 - PERSONAL WATERCRAFT, POWERED
PROD	3293	3293	3293 - WATER SLIDES, NOT ELSEWHERE CLASSIFIED
PROD	3294	3294	3294 - WATER SLIDES, BACKYARD/HOME (NOT SWIMMING POOL SLIDES)
PROD	3295	3295	3295 - WATER SLIDES, PUBLIC (STATIONARY AMUSEMENT RIDES)
PROD	3296	3296	3296 - ALL TERR. VEH. ATV (MORE THAN 4 WHEELS; EXCLUSIVELY OFF-RD.
PROD	3297	3297	3297 - IN-LINE SKATING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3298	3298	3298 - BOATS AND BOATING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	3299	3299	3299 - EXERCISE (ACTIVITY OR APPAREL, W/O EQUIP)
PROD	4002	4002	4002 - BEDDING, NOT SPECIFIED
PROD	4003	4003	4003 - STOOLS, NOT SPECIFIED
PROD	4004	4004	4004 - MIRRORS OR MIRROR GLASS
PROD	4005	4005	4005 - FILTERS
PROD	4008	4008	4008 - NONELECTRIC BLANKETS
PROD	4009	4009	4009 - NONBABY MATTRESSES
PROD	4010	4010	4010 - MATTRESSES, NOT SPECIFIED
PROD	4011	4011	4011 - INFLATABLE FURNITURE
PROD	4013	4013	4013 - OTHER FURNITURE
PROD	4014	4014	4014 - FURNITURE, NOT SPECIFIED
PROD	4015	4015	4015 - UPHOLSTERED FOOTSTOOLS, OTTOMANS OR HASSOCKS
PROD	4016	4016	4016 - BEACH CHAIRS OR FOLDING CHAIRS
PROD	4017	4017	4017 - NONUPHOLSTERED RECLINER CHAIRS
PROD	4018	4018	4018 - NONUPHOLSTERED ROCKING CHAIRS
PROD	4019	4019	4019 - UPHOLSTERED RECLINER CHAIRS
PROD	4020	4020	4020 - UPHOLSTERED ROCKING CHAIRS
PROD	4021	4021	4021 - OTHER CHAIRS
PROD	4022	4022	4022 - CHAIRS, NOT SPECIFIED
PROD	4023	4023	4023 - RECLINER CHAIRS, NOT SPECIFIED
PROD	4024	4024	4024 - ROCKING CHAIRS, NOT SPECIFIED
PROD	4025	4025	4025 - BARSTOOLS OR KITCHEN STOOLS
PROD	4026	4026	4026 - OTHER STOOLS
PROD	4030	4030	4030 - BATHTUB OR SHOWER ENCLOSURES, NOT SPECIFIED
PROD	4032	4032	4032 - OTHER LADDERS
PROD	4033	4033	4033 - LADDERS, NOT SPECIFIED
PROD	4036	4036	4036 - ELECTRIC TABLE LAMPS, FLOOR LAMPS OR DESK LAMPS
PROD	4039	4039	4039 - OTHER ELECTRIC LIGHTING EQUIPMENT
PROD	4041	4041	4041 - ELECTRIC LIGHTING EQUIPMENT, NOT SPECIFIED
PROD	4042	4042	4042 - LIGHTING EQUIPMENT, NOT SPECIFIED
PROD	4043	4043	4043 - CLOCKS
PROD	4045	4045	4045 - FABRICS (NOT PART OF FINISHED ITEM)
PROD	4047	4047	4047 - BOOKS, MAGAZINES, ALBUMS OR SCRAPBOOKS
PROD	4050	4050	4050 - PILLOWS
PROD	4051	4051	4051 - SHEETS OR PILLOWCASES
PROD	4052	4052	4052 - OTHER UPHOLSTERED CHAIRS
PROD	4053	4053	4053 - UPHOLSTERED CHAIRS, NOT SPECIFIED
PROD	4054	4054	4054 - OTHER BEDDING
PROD	4055	4055	4055 - DRAPERY OR CURTAIN RODS, HOOKS OR RINGS
PROD	4056	4056	4056 - CABINETS, RACKS, ROOM DIVIDERS AND SHELVES, NEC
PROD	4057	4057	4057 - TABLES (EXCL.  BABY CHANGING TABLES, BILLIARD OR POOL TABLES
PROD	4058	4058	4058 - BARS AND BAR ACCESSORIES, NOT ELSEWHERE CLASSIFIED
PROD	4059	4059	4059 - SCALES  (EXCL. BABY SCALES)
PROD	4060	4060	4060 - FUEL-BURNING LIGHTING EQUIPMENT
PROD	4061	4061	4061 - ELECTRIC OUTLETS OR RECEPTACLES
PROD	4062	4062	4062 - ELECTRIC WIRE OR WIRING SYSTEMS (EXCL PANELBOARDS RECEPT
PROD	4063	4063	"4063 - PANELBOARDS, CIRCUIT BREAKERS, GFCI""S, OR FUSES"
PROD	4064	4064	4064 - FUTONS
PROD	4065	4065	4065 - CLOCKS, ELECTRIC OR BATTERY OPERATED
PROD	4066	4066	4066 - SCALES, ELECTRIC/BATTERY OPERATED (EXCLUD. BABY SCALES)
PROD	4067	4067	4067 - CLOCKS, NOT ELEC. OR BATTERY OR NOT SPECIFIED
PROD	4068	4068	4068 - SCALES, NOT ELEC. OR BATTERY OR NOT SPECIFIED
PROD	4069	4069	4069 - COTS
PROD	4070	4070	4070 - FLOOR LAMPS OR TABLE LAMPS, HALOGEN
PROD	4071	4071	4071 - FLOOR LAMPS OR TABLE LAMPS, ELECTRIC (EXCL HALOGEN)
PROD	4072	4072	4072 - BEDSPRINGS OR BEDFRAMES EXCL BUNK BEDS & ADULT BED RAILS
PROD	4073	4073	4073 - ADULT BED RAILS
PROD	4074	4074	4074 - CHAIRS, OTHER OR NOT SPECIFIED
PROD	4075	4075	4075 - BED RAILS
PROD	4076	4076	4076 - BEDS OR BEDFRAMES, OTHER OR NOT SPECIFIED
PROD	4077	4077	4077 - EXTENSION OR STRAIGHT LADDERS
PROD	4078	4078	4078 - LADDERS, OTHER OR NOT SPECIFIED
PROD	4079	4079	4079 - FOOTSTOOLS, OTTOMANS OR HASSOCKS
PROD	4080	4080	4080 - STOOLS, OTHER OR NOT SPECIFIED
PROD	4081	4081	4081 - CORDS, ELECTRICAL, OTHER OR NOT SPECIFIED
PROD	4082	4082	4082 - TODDLER BEDS
PROD	4083	4083	4083 - SURGE SUPPRESSORS OR POWER STRIPS
PROD	4084	4084	4084 - RESIDENTIAL ALTERNATIVE ENERGY SYSTEMS FOR ON-SITE POWER GEN
PROD	4802	4802	4802 - STRAPS, NON-STRETCH, OTHER, OR NOT SPECIFIED
PROD	5001	5001	5001 - OTHER TOY WEAPONS (PROJECTILE)
PROD	5004	5004	5004 - TOYS, NOT ELSEWHERE CLASSIFIED
PROD	5005	5005	5005 - RIDING TOYS, NOT SPECIFIED
PROD	5006	5006	5006 - OTHER TOY GUNS
PROD	5007	5007	5007 - TOY WEAPONS, NOT SPECIFIED
PROD	5010	5010	5010 - CRAYONS OR CHALK
PROD	5011	5011	5011 - BOOK BAGS OR BACK CARRIERS (EXC. BABY CARR. LUGGAGE, CAM
PROD	5013	5013	5013 - TOY MAKE-UP KITS OR COSMETICS
PROD	5015	5015	5015 - TOY CAPS, CAP TOYS OR CAP GUNS
PROD	5016	5016	5016 - BALLS, OTHER OR NOT SPECIFIED
PROD	5017	5017	5017 - FLYING DISCS AND BOOMERANGS
PROD	5018	5018	5018 - DOLL HOUSES AND OTHER PLAY SCENES
PROD	5019	5019	5019 - GAMES OR GAME PARTS (EXCL MARBLES & COMPUTER GAMES)
PROD	5020	5020	5020 - PRETEND ELECTRONICS, TOOLS, HOUSEWARES & APPLIANCES
PROD	5021	5021	5021 - TOY VEHICLES (EXCLUDING RIDING TOYS)
PROD	5022	5022	5022 - SCOOTERS, POWERED
PROD	5023	5023	5023 - SCOOTERS, UNPOWERED
PROD	5024	5024	5024 - SCOOTERS, UNSPECIFIED
PROD	5025	5025	5025 - HOVERBOARDS AND POWERED SKATEBOARDS
PROD	5029	5029	5029 - CAMPING EQUIPMENT (EXCL. TRAILERS, LIGHTING EQUIPMENT,
PROD	5030	5030	5030 - TRACK & FIELD (ACT., APPAREL, EQP.; EX.  JOG, RUN FIT)
PROD	5031	5031	5031 - SNOWBOARDING (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	5032	5032	5032 - ROLLER HOCKEY (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	5033	5033	5033 - MOUNTAIN OR ALL-TERRAIN BICYCLES AND ACCESSORIES
PROD	5034	5034	5034 - SOFTBALL (ACTIVITY, APPAREL OR EQUIPMENT)
PROD	5035	5035	5035 - MINIBIKES, POWERED
PROD	5036	5036	5036 - TWO-WHEELED, POWERED, OFF-ROAD VEHICLES
PROD	5037	5037	5037 - HAMMOCKS
PROD	5038	5038	5038 - PERSONAL FITNESS/ACTIVITY TRACKERS
PROD	5040	5040	5040 - BICYCLES AND ACCESSORIES, (EXCL.MOUNTAIN OR ALL-TERRAIN)
PROD	5041	5041	5041 - BASEBALL (ACTIVITY, APPAREL OR EQUIPMENT; EXCL SOFTBALL)
PROD	5042	5042	5042 - SCOOTERS / SKATEBOARDS, POWERED
PROD	5043	5043	5043 - PORTABLE SWIMMING POOLS
PROD	5044	5044	5044 - UTILITY VEHICLES UTV
PROD	5555	5555	5555 - < 5 POISONINGS - NO OTHER CODE
PROD	6666	6666	6666 - INHALED/ABUSED SUBSTANCE
PROD	7001	7001	7001 - YARD / HOME IMPROVEMENT EQUIP - CONSUMER USE, NO OTHER CODE
PROD	7777	7777	7777 - OTHER PRODUCT
PROD	7878	7878	7878 - NO PRODUCT INVOLVED / PRODUCT NOT LISTED
PROD	8888	8888	8888 - NO PRODUCT
PROD	9000	9000	9000 - ASSIGNED CASE WITH OUT-OF-SCOPE PRODUCT
PROD	9001	9001	9001 - MENTAL HEALTH SERVICES STUDY
PROD	9002	9002	9002 - SEXUAL VIOLENCE
PROD	9003	9003	9003 - NONSEXUAL INTIMATE PARTNER VIOLENCE
PROD	9100	9100	9100 - OUT OF SCOPE PRODUCT - RETAILER REPORT
PROD	9200	9200	9200 - DRYWALL CONTROL - NO COMPLAINT
PROD	9999	9999	9999 - UNCATEGORIZED PRODUCT
RACE	0	0	N.S.
RACE	1	1	WHITE
RACE	2	2	BLACK/AFRICAN AMERICAN
RACE	3	3	OTHER
RACE	4	4	ASIAN
RACE	5	5	AMERICAN INDIAN/ALASKA NATIVE
RACE	6	6	NATIVE HAWAIIAN/PACIFIC ISLANDER
